profession,year,forecast_count,model_type,lower_95,upper_95
doctors,2020,15366.718181818185,linear,15045.29318094862,15688.14318268775
doctors,2021,15987.54545454546,linear,15666.120453675894,16308.970455415025
doctors,2022,16608.37272727273,linear,16286.947726403165,16929.797728142297
doctors,2023,17229.200000000004,linear,16907.774999130437,17550.62500086957
doctors,2024,17850.02727272728,linear,17528.60227185771,18171.452273596846
nurses,2020,42039.13153095025,arima,41308.34017300899,42769.92288889152
nurses,2021,43401.470473202025,arima,42167.74195400802,44635.19899239603
nurses,2022,44679.97616998835,arima,43069.92643194083,46290.025908035874
nurses,2023,45879.80740582849,arima,43947.68678714698,47811.92802451
nurses,2024,47005.80551292826,arima,44784.41811582148,49227.19291003504
pharmacists,2020,3469.8090909090915,linear,3328.0739842347043,3611.5441975834788
pharmacists,2021,3626.272727272728,linear,3484.5376205983407,3768.007833947115
pharmacists,2022,3782.7363636363643,linear,3641.001256961977,3924.4714703107516
pharmacists,2023,3939.2000000000007,linear,3797.4648933256135,4080.935106674388
pharmacists,2024,4095.663636363637,linear,3953.92852968925,4237.398743038025
physiotherapists,2020,2292.833333333333,linear,2286.609497431469,2299.057169235197
physiotherapists,2021,2442.333333333333,linear,2436.109497431469,2448.557169235197
physiotherapists,2022,2591.833333333333,linear,2585.609497431469,2598.057169235197
physiotherapists,2023,2741.333333333333,linear,2735.109497431469,2747.557169235197
physiotherapists,2024,2890.833333333333,linear,2884.609497431469,2897.057169235197
