year,sector,doctors,nurses,doctor_to_nurse_ratio,within_benchmark
2016,Private,3979,9985,0.39849774661992987,true
2009,Inactive,590,4654,0.12677266867211,false
2008,Inactive,493,4274,0.11534861956013102,false
2006,Inactive,460,3244,0.14180024660912455,false
2008,Private,3051,6224,0.4901992287917738,true
2012,Private,3515,8413,0.4178057767740402,true
2016,Inactive,630,5747,0.10962241169305725,false
2019,Inactive,810,5518,0.14679231605654222,false
2017,Private,4107,10344,0.3970417633410673,true
2011,Private,3449,7709,0.44739914385782853,true
2014,Private,3790,9002,0.4210175516551877,true
2009,Public,4610,15675,0.2940988835725678,true
2011,Public,5621,19250,0.292,true
2014,Inactive,613,5872,0.10439373297002724,false
2007,Public,3991,12294,0.32462990076460063,true
2017,Inactive,706,5708,0.12368605466012614,false
2016,Public,8358,24829,0.33662249788553705,true
2018,Public,8819,25636,0.3440084256514277,true
2008,Public,4297,13711,0.3133980016045511,true
2013,Inactive,614,5542,0.11079032840129917,false
2018,Inactive,722,5778,0.12495673243336795,false
2010,Public,5180,17613,0.29410094816328847,true
2015,Private,3914,9784,0.4000408830744072,true
2015,Inactive,636,5279,0.12047736313695775,false
2017,Public,8573,25388,0.33767921852843863,true
2012,Inactive,579,5094,0.11366313309776208,false
2018,Private,4225,10711,0.39445429931845766,true
2007,Private,3004,6112,0.49149214659685864,true
2010,Private,3310,6965,0.4752333094041637,true
2009,Private,3123,6463,0.4832121305895095,true
2006,Private,2966,6109,0.4855131772794238,true
2007,Inactive,469,3926,0.11946001018848701,false
2010,Inactive,540,4762,0.11339773204535909,false
2014,Public,7330,22744,0.3222827998593035,true
2015,Public,7909,23942,0.3303399883050706,true
2013,Private,3678,8826,0.4167233174711081,true
2019,Private,4439,11180,0.3970483005366726,true
2012,Public,6131,21000,0.29195238095238096,true
2006,Public,3505,11574,0.30283393813720405,true
2013,Public,6661,21707,0.3068595383977519,true
2019,Public,9030,26079,0.3462556079604279,true
2011,Inactive,576,4790,0.12025052192066805,false
